BCS_Solar,BCS_Eolica,BCA_Solar,BCA_Eolica,SIN_Solar,SIN_Eolica
{'electricity': 0.0},{'electricity': 0.285},{'electricity': 0.048},{'electricity': 0.002},{'electricity': 0.091},{'electricity': 0.687}
{'electricity': 0.0},{'electricity': 0.256},{'electricity': 0.0},{'electricity': 0.003},{'electricity': 0.0},{'electricity': 0.668}
{'electricity': 0.0},{'electricity': 0.176},{'electricity': 0.0},{'electricity': 0.003},{'electricity': 0.0},{'electricity': 0.629}
{'electricity': 0.0},{'electricity': 0.091},{'electricity': 0.0},{'electricity': 0.001},{'electricity': 0.0},{'electricity': 0.58}
{'electricity': 0.0},{'electricity': 0.03},{'electricity': 0.0},{'electricity': 0.0},{'electricity': 0.0},{'electricity': 0.583}
{'electricity': 0.0},{'electricity': 0.005},{'electricity': 0.0},{'electricity': 0.001},{'electricity': 0.0},{'electricity': 0.538}
{'electricity': 0.0},{'electricity': 0.004},{'electricity': 0.0},{'electricity': 0.003},{'electricity': 0.0},{'electricity': 0.523}
{'electricity': 0.0},{'electricity': 0.029},{'electricity': 0.0},{'electricity': 0.004},{'electricity': 0.0},{'electricity': 0.514}
{'electricity': 0.0},{'electricity': 0.12},{'electricity': 0.0},{'electricity': 0.004},{'electricity': 0.0},{'electricity': 0.516}
{'electricity': 0.0},{'electricity': 0.231},{'electricity': 0.0},{'electricity': 0.005},{'electricity': 0.0},{'electricity': 0.519}
{'electricity': 0.0},{'electricity': 0.28},{'electricity': 0.0},{'electricity': 0.013},{'electricity': 0.0},{'electricity': 0.497}
{'electricity': 0.0},{'electricity': 0.251},{'electricity': 0.0},{'electricity': 0.034},{'electricity': 0.0},{'electricity': 0.45}
{'electricity': 0.0},{'electricity': 0.179},{'electricity': 0.0},{'electricity': 0.064},{'electricity': 0.0},{'electricity': 0.402}
{'electricity': 0.0},{'electricity': 0.136},{'electricity': 0.0},{'electricity': 0.102},{'electricity': 0.0},{'electricity': 0.328}
{'electricity': 0.021},{'electricity': 0.112},{'electricity': 0.0},{'electricity': 0.144},{'electricity': 0.055},{'electricity': 0.407}
{'electricity': 0.104},{'electricity': 0.09},{'electricity': 0.094},{'electricity': 0.163},{'electricity': 0.23},{'electricity': 0.459}
{'electricity': 0.216},{'electricity': 0.088},{'electricity': 0.191},{'electricity': 0.136},{'electricity': 0.34},{'electricity': 0.502}
{'electricity': 0.366},{'electricity': 0.099},{'electricity': 0.291},{'electricity': 0.127},{'electricity': 0.394},{'electricity': 0.579}
{'electricity': 0.49},{'electricity': 0.141},{'electricity': 0.411},{'electricity': 0.104},{'electricity': 0.479},{'electricity': 0.685}
{'electricity': 0.621},{'electricity': 0.161},{'electricity': 0.525},{'electricity': 0.076},{'electricity': 0.608},{'electricity': 0.766}
{'electricity': 0.63},{'electricity': 0.168},{'electricity': 0.626},{'electricity': 0.044},{'electricity': 0.677},{'electricity': 0.809}
{'electricity': 0.526},{'electricity': 0.192},{'electricity': 0.579},{'electricity': 0.015},{'electricity': 0.609},{'electricity': 0.817}
{'electricity': 0.334},{'electricity': 0.219},{'electricity': 0.447},{'electricity': 0.003},{'electricity': 0.432},{'electricity': 0.811}
{'electricity': 0.132},{'electricity': 0.211},{'electricity': 0.239},{'electricity': 0.0},{'electricity': 0.2},{'electricity': 0.762}
{'electricity': 0.004},{'electricity': 0.231},{'electricity': 0.027},{'electricity': 0.001},{'electricity': 0.002},{'electricity': 0.682}
{'electricity': 0.0},{'electricity': 0.343},{'electricity': 0.0},{'electricity': 0.001},{'electricity': 0.0},{'electricity': 0.626}
{'electricity': 0.0},{'electricity': 0.32},{'electricity': 0.0},{'electricity': 0.001},{'electricity': 0.0},{'electricity': 0.593}
{'electricity': 0.0},{'electricity': 0.269},{'electricity': 0.0},{'electricity': 0.004},{'electricity': 0.0},{'electricity': 0.601}
{'electricity': 0.0},{'electricity': 0.292},{'electricity': 0.0},{'electricity': 0.014},{'electricity': 0.0},{'electricity': 0.635}
{'electricity': 0.0},{'electricity': 0.32},{'electricity': 0.0},{'electricity': 0.027},{'electricity': 0.0},{'electricity': 0.668}
{'electricity': 0.0},{'electricity': 0.341},{'electricity': 0.0},{'electricity': 0.03},{'electricity': 0.0},{'electricity': 0.732}
{'electricity': 0.0},{'electricity': 0.341},{'electricity': 0.0},{'electricity': 0.028},{'electricity': 0.0},{'electricity': 0.733}
{'electricity': 0.0},{'electricity': 0.329},{'electricity': 0.0},{'electricity': 0.039},{'electricity': 0.0},{'electricity': 0.707}
{'electricity': 0.0},{'electricity': 0.351},{'electricity': 0.0},{'electricity': 0.051},{'electricity': 0.0},{'electricity': 0.665}
{'electricity': 0.0},{'electricity': 0.401},{'electricity': 0.0},{'electricity': 0.056},{'electricity': 0.0},{'electricity': 0.598}
{'electricity': 0.0},{'electricity': 0.429},{'electricity': 0.0},{'electricity': 0.048},{'electricity': 0.0},{'electricity': 0.578}
{'electricity': 0.0},{'electricity': 0.401},{'electricity': 0.0},{'electricity': 0.032},{'electricity': 0.0},{'electricity': 0.559}
{'electricity': 0.0},{'electricity': 0.357},{'electricity': 0.0},{'electricity': 0.02},{'electricity': 0.0},{'electricity': 0.566}
{'electricity': 0.026},{'electricity': 0.297},{'electricity': 0.0},{'electricity': 0.013},{'electricity': 0.05},{'electricity': 0.713}
{'electricity': 0.152},{'electricity': 0.17},{'electricity': 0.203},{'electricity': 0.011},{'electricity': 0.311},{'electricity': 0.73}
{'electricity': 0.367},{'electricity': 0.135},{'electricity': 0.45},{'electricity': 0.007},{'electricity': 0.521},{'electricity': 0.676}
{'electricity': 0.646},{'electricity': 0.092},{'electricity': 0.607},{'electricity': 0.011},{'electricity': 0.658},{'electricity': 0.602}
{'electricity': 0.749},{'electricity': 0.062},{'electricity': 0.698},{'electricity': 0.018},{'electricity': 0.732},{'electricity': 0.528}
{'electricity': 0.766},{'electricity': 0.051},{'electricity': 0.727},{'electricity': 0.025},{'electricity': 0.751},{'electricity': 0.472}
{'electricity': 0.73},{'electricity': 0.051},{'electricity': 0.7},{'electricity': 0.042},{'electricity': 0.717},{'electricity': 0.447}
{'electricity': 0.641},{'electricity': 0.062},{'electricity': 0.618},{'electricity': 0.093},{'electricity': 0.627},{'electricity': 0.447}
{'electricity': 0.485},{'electricity': 0.079},{'electricity': 0.472},{'electricity': 0.133},{'electricity': 0.476},{'electricity': 0.466}
{'electricity': 0.255},{'electricity': 0.113},{'electricity': 0.231},{'electricity': 0.138},{'electricity': 0.252},{'electricity': 0.459}
{'electricity': 0.028},{'electricity': 0.225},{'electricity': 0.028},{'electricity': 0.169},{'electricity': 0.01},{'electricity': 0.438}
{'electricity': 0.0},{'electricity': 0.321},{'electricity': 0.0},{'electricity': 0.157},{'electricity': 0.0},{'electricity': 0.394}
{'electricity': 0.0},{'electricity': 0.349},{'electricity': 0.0},{'electricity': 0.115},{'electricity': 0.0},{'electricity': 0.368}
{'electricity': 0.0},{'electricity': 0.312},{'electricity': 0.0},{'electricity': 0.089},{'electricity': 0.0},{'electricity': 0.326}
{'electricity': 0.0},{'electricity': 0.272},{'electricity': 0.0},{'electricity': 0.074},{'electricity': 0.0},{'electricity': 0.293}
{'electricity': 0.0},{'electricity': 0.263},{'electricity': 0.0},{'electricity': 0.061},{'electricity': 0.0},{'electricity': 0.231}
{'electricity': 0.0},{'electricity': 0.218},{'electricity': 0.0},{'electricity': 0.072},{'electricity': 0.0},{'electricity': 0.144}
{'electricity': 0.0},{'electricity': 0.167},{'electricity': 0.0},{'electricity': 0.121},{'electricity': 0.0},{'electricity': 0.078}
{'electricity': 0.0},{'electricity': 0.133},{'electricity': 0.0},{'electricity': 0.151},{'electricity': 0.0},{'electricity': 0.035}
{'electricity': 0.0},{'electricity': 0.113},{'electricity': 0.0},{'electricity': 0.093},{'electricity': 0.0},{'electricity': 0.01}
{'electricity': 0.0},{'electricity': 0.093},{'electricity': 0.0},{'electricity': 0.08},{'electricity': 0.0},{'electricity': 0.001}
{'electricity': 0.0},{'electricity': 0.084},{'electricity': 0.0},{'electricity': 0.094},{'electricity': 0.0},{'electricity': 0.0}
{'electricity': 0.0},{'electricity': 0.095},{'electricity': 0.0},{'electricity': 0.12},{'electricity': 0.0},{'electricity': 0.0}
{'electricity': 0.0},{'electricity': 0.088},{'electricity': 0.0},{'electricity': 0.123},{'electricity': 0.0},{'electricity': 0.0}
{'electricity': 0.141},{'electricity': 0.062},{'electricity': 0.0},{'electricity': 0.069},{'electricity': 0.008},{'electricity': 0.002}
{'electricity': 0.38},{'electricity': 0.014},{'electricity': 0.194},{'electricity': 0.03},{'electricity': 0.109},{'electricity': 0.042}
{'electricity': 0.572},{'electricity': 0.0},{'electricity': 0.372},{'electricity': 0.051},{'electricity': 0.35},{'electricity': 0.076}
{'electricity': 0.698},{'electricity': 0.003},{'electricity': 0.489},{'electricity': 0.165},{'electricity': 0.646},{'electricity': 0.096}
{'electricity': 0.763},{'electricity': 0.045},{'electricity': 0.541},{'electricity': 0.374},{'electricity': 0.735},{'electricity': 0.109}
{'electricity': 0.778},{'electricity': 0.131},{'electricity': 0.649},{'electricity': 0.641},{'electricity': 0.753},{'electricity': 0.117}
{'electricity': 0.743},{'electricity': 0.252},{'electricity': 0.504},{'electricity': 0.789},{'electricity': 0.719},{'electricity': 0.1}
{'electricity': 0.654},{'electricity': 0.37},{'electricity': 0.339},{'electricity': 0.812},{'electricity': 0.629},{'electricity': 0.038}
{'electricity': 0.507},{'electricity': 0.442},{'electricity': 0.354},{'electricity': 0.78},{'electricity': 0.478},{'electricity': 0.001}
{'electricity': 0.29},{'electricity': 0.491},{'electricity': 0.205},{'electricity': 0.729},{'electricity': 0.253},{'electricity': 0.0}
{'electricity': 0.036},{'electricity': 0.557},{'electricity': 0.03},{'electricity': 0.644},{'electricity': 0.011},{'electricity': 0.023}
{'electricity': 0.0},{'electricity': 0.596},{'electricity': 0.0},{'electricity': 0.562},{'electricity': 0.0},{'electricity': 0.241}
{'electricity': 0.0},{'electricity': 0.55},{'electricity': 0.0},{'electricity': 0.601},{'electricity': 0.0},{'electricity': 0.452}
{'electricity': 0.0},{'electricity': 0.523},{'electricity': 0.0},{'electricity': 0.619},{'electricity': 0.0},{'electricity': 0.519}
{'electricity': 0.0},{'electricity': 0.522},{'electricity': 0.0},{'electricity': 0.669},{'electricity': 0.0},{'electricity': 0.488}
{'electricity': 0.0},{'electricity': 0.552},{'electricity': 0.0},{'electricity': 0.71},{'electricity': 0.0},{'electricity': 0.407}
{'electricity': 0.0},{'electricity': 0.619},{'electricity': 0.0},{'electricity': 0.727},{'electricity': 0.0},{'electricity': 0.379}
{'electricity': 0.0},{'electricity': 0.665},{'electricity': 0.0},{'electricity': 0.738},{'electricity': 0.0},{'electricity': 0.394}
{'electricity': 0.0},{'electricity': 0.658},{'electricity': 0.0},{'electricity': 0.697},{'electricity': 0.0},{'electricity': 0.419}
{'electricity': 0.0},{'electricity': 0.622},{'electricity': 0.0},{'electricity': 0.63},{'electricity': 0.0},{'electricity': 0.405}
{'electricity': 0.0},{'electricity': 0.591},{'electricity': 0.0},{'electricity': 0.571},{'electricity': 0.0},{'electricity': 0.388}
{'electricity': 0.0},{'electricity': 0.635},{'electricity': 0.0},{'electricity': 0.546},{'electricity': 0.0},{'electricity': 0.45}
{'electricity': 0.0},{'electricity': 0.655},{'electricity': 0.0},{'electricity': 0.531},{'electricity': 0.0},{'electricity': 0.527}
